Doctor 1,Doctor 2,Doctor 3,Doctor 4,Doctor 5
,2023-07-08,2023-10-15,2024-04-26,
,2023-08-16,2024-03-06,2024-04-27,
,2024-06-22,2024-03-07,2024-04-28,2023-08-31
,2023-10-15,2024-03-01,2024-01-07,2023-09-01
,2023-10-20,2024-03-02,2024-01-12,2023-09-02
2023-10-07,2023-10-21,2024-03-03,2024-01-13,2023-09-03
2023-10-08,2023-10-22,2024-02-23,2024-01-14,2023-09-04
2023-10-09,2023-10-27,2024-02-24,2024-01-19,2023-11-19
,2023-10-28,2024-02-25,2024-01-20,2023-11-23
,2023-10-29,2023-10-06,2024-01-21,2023-11-24
,2023-11-03,2023-10-07,2024-01-26,2023-11-25
